run,round,mode,f1,recall,fpr
flgl_k2,54,gossip,87.6333,78.0071,0.0017
flgl_k2,55,gossip,87.6333,78.0071,0.0017
flgl_k2,56,gossip,87.6333,78.0071,0.0017
flgl_k2,57,gossip,87.6333,78.0071,0.0017
flgl_k2,58,gossip,87.6333,78.0071,0.0017
flgl_k2,59,gossip,87.6333,78.0071,0.0017
flgl_k2,60,gossip,87.6333,78.0071,0.0017
flgl_k2,61,gossip,87.6333,78.0071,0.0017
flgl_k2,62,gossip,87.6333,78.0071,0.0017
flgl_k2,63,gossip,87.6333,78.0071,0.0017
flgl_k2,64,gossip,87.6333,78.0071,0.0017
flgl_k2,65,gossip,87.6333,78.0071,0.0017
flgl_k2,66,gossip,87.6333,78.0071,0.0017
flgl_k2,67,gossip,87.6333,78.0071,0.0017
flgl_k2,68,gossip,87.6333,78.0071,0.0017
flgl_k2,69,gossip,87.6333,78.0071,0.0017
flgl_k2,70,gossip,87.6333,78.0071,0.0017
flgl_k2,71,gossip,87.6333,78.0071,0.0017
flgl_k2,72,gossip,87.6333,78.0071,0.0017
flgl_k2,73,gossip,87.6333,78.0071,0.0017
flgl_k2,74,gossip,87.6333,78.0071,0.0017
flgl_k2,75,gossip,87.6333,78.0071,0.0017
flgl_k2,76,gossip,87.6333,78.0071,0.0017
flgl_k2,77,gossip,87.6333,78.0071,0.0017
flgl_k2,78,gossip,87.6333,78.0071,0.0017
flgl_k2,79,gossip,87.6333,78.0071,0.0017
flgl_k2,80,gossip,87.6333,78.0071,0.0017
flgl_k2,81,gossip,87.6333,78.0071,0.0017
flgl_k2,82,gossip,87.6333,78.0071,0.0017
flgl_k2,83,gossip,87.6333,78.0071,0.0017
flgl_k2,84,gossip,87.6333,78.0071,0.0017
flgl_k2,85,gossip,87.6333,78.0071,0.0017
flgl_k2,86,gossip,87.6333,78.0071,0.0017
flgl_k2,87,gossip,87.6333,78.0071,0.0017
flgl_k2,88,gossip,87.6333,78.0071,0.0017
flgl_k2,89,gossip,87.6333,78.0071,0.0017
flgl_k2,90,gossip,87.6333,78.0071,0.0017
glfl_k2,1,gossip,53.2396,36.2765,0.0000
glfl_k2,2,gossip,85.3764,74.4841,0.0000
glfl_k2,3,gossip,85.3764,74.4841,0.0000
glfl_k2,4,gossip,85.3600,74.4900,0.0030
glfl_k2,5,gossip,85.9342,75.3685,0.0030
glfl_k2,6,gossip,90.5637,82.7889,0.0030
glfl_k2,7,gossip,90.7645,83.1250,0.0030
glfl_k2,8,gossip,94.3490,91.7983,0.2034
glfl_k2,9,gossip,96.3802,99.9646,0.5439
glfl_k2,10,gossip,96.3802,99.9646,0.5439
glfl_k2,11,federated,87.6333,78.0071,0.0017
glfl_k2,12,federated,87.6333,78.0071,0.0017
glfl_k2,13,federated,87.6333,78.0071,0.0017
glfl_k2,14,federated,87.6333,78.0071,0.0017
glfl_k2,15,federated,87.6333,78.0071,0.0017
glfl_k2,16,federated,87.6333,78.0071,0.0017
glfl_k2,17,federated,87.6333,78.0071,0.0017
glfl_k2,18,federated,87.6333,78.0071,0.0017
glfl_k2,19,federated,87.6333,78.0071,0.0017
glfl_k2,20,federated,87.6333,78.0071,0.0017
glfl_k2,21,federated,86.7465,76.5949,0.0000
glfl_k2,22,federated,86.7465,76.5949,0.0000
glfl_k2,23,federated,86.7465,76.5949,0.0000
glfl_k2,24,federated,86.7465,76.5949,0.0000
glfl_k2,25,federated,86.7465,76.5949,0.0000
glfl_k2,26,federated,86.7465,76.5949,0.0000
glfl_k2,27,federated,86.7465,76.5949,0.0000
glfl_k2,28,federated,86.7465,76.5949,0.0000
glfl_k2,29,federated,86.7465,76.5949,0.0000
glfl_k2,30,federated,86.7465,76.5949,0.0000
glfl_k2,31,federated,86.7465,76.5949,0.0000
glfl_k2,32,federated,86.7465,76.5949,0.0000
glfl_k2,33,federated,86.7465,76.5949,0.0000
glfl_k2,34,federated,86.7465,76.5949,0.0000
glfl_k2,35,federated,86.7465,76.5949,0.0000
glfl_k2,36,federated,86.7465,76.5949,0.0000
glfl_k2,37,federated,86.7465,76.5949,0.0000
glfl_k2,38,federated,86.7465,76.5949,0.0000
glfl_k2,39,federated,86.7465,76.5949,0.0000
glfl_k2,40,federated,86.7465,76.5949,0.0000
glfl_k2,41,federated,85.9161,75.3096,0.0000
